,Model_1,Model_2,Model_3,Model_4
Dataset_1,0.32555,0.72205,0.24512,0.12776
Dataset_2,0.73628,0.83571,0.81286,0.52188
Dataset_3,0.58977,0.46137,0.11220,0.02844
Dataset_4,0.50916,0.95047,0.51629,0.16702
Dataset_5,0.56346,0.55817,0.12003,0.46400
Dataset_6,0.06951,0.85494,0.55957,0.13392
Dataset_7,0.61861,0.57429,0.31828,0.11311
Dataset_8,0.14017,0.73083,0.21874,0.57792
Dataset_9,0.42478,0.92079,0.78520,0.71230
Dataset_10,0.40643,0.09868,0.24090,0.31681
Dataset_11,0.92888,0.18322,0.41400,0.16005
Dataset_12,0.92507,0.62347,0.19045,0.04941
Dataset_13,0.54684,0.13150,0.76047,0.35682
Dataset_14,0.04292,0.25823,0.55847,0.22952
