"datasets","method1","method2","method3","method4","method5"
"dataset1",0.349299048539251,0.417269926285371,0.979293410433456,0.125856270780787,0.435386642348021
"dataset2",0.947318266145885,0.138074840884656,0.0170156876556575,0.938152686925605,0.55247233598493
"dataset3",0.216099976096302,0.0808449615724385,0.673447825945914,0.80127512710169,0.204030646011233
"dataset4",0.0320927088614553,0.655982626136392,0.371269882190973,0.758053619647399,0.0310260178521276
"dataset5",0.145315843401477,0.602003859123215,0.918010637164116,0.532565164146945,0.969707059208304
"dataset6",0.854383887955919,0.656995829660445,0.677978094667196,0.546804774785414,0.178613093914464
"dataset7",0.21314931102097,0.329317163676023,0.665152461268008,0.0959265041165054,0.778292785864323
"dataset8",0.210310738068074,0.979474220424891,0.756041088141501,0.388349752407521,0.885710798436776
"dataset9",0.0395206899847835,0.715186134213582,0.542837154818699,0.172351888613775,0.836446250556037
"dataset10",0.944774803239852,0.872630304889753,0.239288098411635,0.690725848078728,0.605368442134932
"dataset11",0.244927987456322,0.983283746987581,0.508893572259694,0.675208503613248,0.906879458576441
"dataset12",0.781122568063438,0.218562992988154,0.417264371411875,0.946294847643003,0.0359098089393228
"dataset13",0.288237168220803,0.664530064212158,0.726948852883652,0.196219522040337,0.131418510107324
"dataset14",0.875357910292223,0.38956403802149,0.637685551773757,0.968637502286583,0.0940303672105074
"dataset15",0.295750094112009,0.0460636389907449,0.396409955108538,0.387096277438104,0.696583657991141
"dataset16",0.983525407966226,0.61691455822438,0.95948260743171,0.650343898683786,0.405728721991181
"dataset17",0.589837556472048,0.598474994301796,0.298658029874787,0.814596203621477,0.065636639483273
"dataset18",0.759158379863948,0.406853629974648,0.0502011657226831,0.0709647727198899,0.126492621842772
"dataset19",0.836075305938721,0.858328149653971,0.576187420636415,0.526830323971808,0.937330218032002
"dataset20",0.762819469673559,0.517681184923276,0.217905807076022,0.763474826235324,0.216380230383947
